-4.	4.358252842512063e-9
-3.9	5.270388280796764e-9
-3.8	6.313123906159918e-9
-3.7	7.550151420620182e-9
-3.6	9.125480850344113e-9
-3.5	1.1090040105678363e-8
-3.4	1.345152568398096e-8
-3.3	1.634001836054382e-8
-3.2	1.9986435775368478e-8
-3.1	2.4479688453535495e-8
-3.	3.007496052316679e-8
-2.9	3.717664789035137e-8
-2.8	4.610638210274663e-8
-2.7	5.7400384364386104e-8
-2.6	7.180702052692077e-8
-2.5	9.024986153343262e-8
-2.4	1.1386757927146926e-7
-2.3	1.446176643622993e-7
-2.2	1.8459987649464786e-7
-2.1	2.3726513397091676e-7
-2.	3.068019416335312e-7
-1.9	3.998780942335555e-7
-1.8	5.278131557065123e-7
-1.7	6.995574341344047e-7
-1.6	9.80154387253297e-7
-1.5	1.3527627037083384e-6
-1.4	1.4463291860758885e-6
-1.3	5.592979876031952e-7
-1.2	-1.8790003575157305e-6
-1.1	-2.2475604049881006e-6
-1.	0.0006551591892471125
-0.9	7.953700921225217e-6
-0.8	0.0011922685619614921
-0.7	0.0016083475186128248
-0.6	0.0021696205646688353
-0.5	0.0029266130088644268
-0.4	0.003947583848626182
-0.3	0.00532444022425424
-0.19999999999999996	0.007180892683615432
-0.09999999999999998	0.009683271874567608
0.	0.013055360525981824
0.1	0.017598067158303605
0.2	0.02371396817450918
0.30000000000000004	0.03194114587108642
0.4	0.04299537355787225
0.5	0.05783323437308894
0.6	0.07769491857936552
0.7	0.10421316071079789
0.8	0.13946189823331062
0.9000000000000004	0.1860416558667761
1.0000000000000004	0.24708229674193688
1.1000000000000003	0.3261411260435375
1.2000000000000004	0.4268663925055276
1.3000000000000007	0.5522814164755603
1.4000000000000008	0.7035172283842736
1.5000000000000007	0.8779371509913675
1.6000000000000008	1.0669330678947895
1.7000000000000002	1.2543117051140076
1.8000000000000003	1.4168643994352674
1.9000000000000001	1.5286299237850283
2.	1.5685985646495988
2.1000000000000005	1.5286299237850283
2.2000000000000006	1.4168643994352659
2.3000000000000007	1.2543117051140058
2.4000000000000004	1.066933067894788
2.5	0.877937150991366
2.6	0.7035172283842723
2.7	0.5522814164755587
2.8	0.4268663925055272
2.9000000000000004	0.3261411260435369
3.0000000000000004	0.24708229674193627
3.1000000000000005	0.18604165586677565
3.2	0.13946189823331057
3.3000000000000007	0.10421316071079777
3.400000000000001	0.07769491857936534
3.500000000000001	0.05783323437308877
3.6000000000000005	0.04299537355787218
3.7	0.0319411458710864
3.8000000000000003	0.023713968174509166
3.9000000000000004	0.01759806715830358
4.	0.013055360525981824
